,bonus,deferral_payments,deferred_income,director_fees,expenses,exercised_stock_options,loan_advances,long_term_incentive,other,restricted_stock,restricted_stock_deferred,salary,total_payments,total_stock_value
0,0.517654476671,0.445823815409,0.120829055533,0.704283916405,0.0600135599151,0.0500818015747,0.339907550077,0.0464090243688,1.44791460238e-05,0.0063524688385,0.963621341897,0.181384089213,0.0433015582469,0.0346515616545
1,0.142720438093,0.0266425030951,0.837179431909,0.704283916405,0.0146009666907,0.00722260480129,0.339907550077,0.133420025291,0.0452591660374,0.0782313712123,0.839335695243,0.255325345458,0.00176051202184,0.00466611710208
2,0.142720438093,0.133845447779,0.998780951794,0.704283916405,0.245622553201,0.117545742499,0.339907550077,0.133420025291,0.0834501719978,0.117120279303,0.794807214535,0.0,0.00884561742173,0.10624598625
3,0.142496847415,0.200618660548,0.604623649193,0.704283916405,0.0483432845614,0.19426373501,0.339907550077,0.29881185002,0.256792577642,0.265475719919,0.839335695243,0.240033814046,0.0544053139618,0.215855413714
4,0.0416141235813,0.0393352327899,0.942684469166,0.704283916405,0.564241191523,0.0905056909603,0.339907550077,0.133420025291,6.46735189064e-06,0.00769462960531,0.980434909391,0.215338577091,0.00799102777921,0.00069712933322
5,0.142720438093,0.105426069893,0.837179431909,0.704283916405,0.237890394331,0.0462988846278,0.339907550077,0.0048317534476,8.41721022185e-05,0.0782313712123,0.839335695243,0.0723283887643,0.00830427721146,0.0320049314117
6,0.0794451450189,0.133845447779,0.837179431909,0.704283916405,0.161949128447,0.0905056909603,0.339907550077,0.133420025291,5.44415890496e-05,0.0063524688385,0.839335695243,0.207829446128,0.00935615412741,0.00198097930616
7,0.653215510719,0.332768710034,0.33393301029,0.704283916405,0.0752662773659,0.0274715195715,0.339907550077,0.133420025291,0.0203379876709,0.00849392439553,0.839335695243,0.192226910615,0.0531238012645,0.0220431700233
8,0.142720438093,0.133845447779,0.97098174339,0.790447672364,0.0137217592896,0.0905056909603,0.339907550077,0.133420025291,0.0452591660374,0.000789789883167,0.995477113408,0.255325345458,3.02917222244e-05,0.0702361081048
9,0.142720438093,0.133845447779,0.837179431909,0.704283916405,0.0513702075542,0.0470197938581,0.339907550077,0.133420025291,0.0452591660374,0.0568094715584,0.839335695243,0.194552301489,0.00220477773944,0.0502191059402
10,0.0226986128625,0.133845447779,0.86157480706,0.704283916405,0.258193906787,0.0905056909603,0.339907550077,0.0218720222623,0.0412476120268,0.0425540798659,0.839335695243,0.168750635814,0.00597435419946,0.0128450399012
11,0.142720438093,0.133845447779,0.837179431909,0.704283916405,0.602392668897,0.449828925662,0.339907550077,0.133420025291,0.0452591660374,0.174620757604,0.0,0.255325345458,0.00132982302131,0.314325380267
12,0.117276166456,0.133845447779,0.837179431909,0.704283916405,0.168016096932,0.0423992767785,0.339907550077,0.0591973028702,0.0410904650287,0.0234650355884,0.839335695243,0.191890210582,0.0197706838412,0.0369798424165
13,0.0983606557377,0.133845447779,0.837179431909,0.704283916405,0.367692408635,0.0220017827761,0.339907550077,0.150227403865,2.60624628429e-05,0.010630627499,0.839335695243,0.223328450883,0.0194543637147,0.0188576174053
14,0.142720438093,0.133845447779,0.967761012892,0.895381925717,0.00494718194344,0.0905056909603,0.339907550077,0.133420025291,0.0452591660374,0.0782313712123,0.839335695243,0.255325345458,1.09212425361e-05,0.0702361081048
15,0.161412358134,0.133845447779,1.0,0.704283916405,0.287640793474,0.0905056909603,0.339907550077,0.178296371053,0.000156278249417,0.0149087861596,0.839335695243,0.250385989678,0.0257768457974,0.00454872000078
16,0.142720438093,0.133845447779,0.837179431909,0.704283916405,0.214946525819,0.0905056909603,0.339907550077,0.133420025291,0.0452591660374,0.0782313712123,0.839335695243,0.255325345458,0.000474509158466,0.0702361081048
